method,train_seed,training_collision_penalty,training_projection_enabled,checkpoint_sha256,layout_suite_schema_version,layout_suite_id,layout_suite_sha256,layout_suite_path,layout_id,layout_repeat,evaluation_seed,evaluation_collision_penalty,evaluation_policy_mode,max_episode_steps,layout_max_obstacles,layout_agent_radius,layout_goal_radius,projection_mode,policy,checkpoint,episode,seed,episode_return,episode_length,success,collision,terminated,truncated,final_distance_to_goal,min_obstacle_clearance,action_bound_clipping_count,action_bound_clipping_rate,speed_action_bound_clipping_count,speed_action_bound_clipping_rate,turn_rate_action_bound_clipping_count,turn_rate_action_bound_clipping_rate,mean_action_bound_clipping_norm,max_action_bound_clipping_norm,projection_enabled,projection_intervention_count,projection_intervention_rate,mean_projection_correction_norm,max_projection_correction_norm,mean_projection_slack_sum,max_projection_slack,projection_solver_failure_count,projection_lookahead_distance,projection_alpha,projection_slack_penalty,projection_extra_clearance,source_csv,result_build_schema_version
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,control_open_route,0,1000,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,0,1000,-8.2444420172449,200,False,False,False,True,4.916572843810789,,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,control_upper_clearance,0,1001,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,1,1001,-5.520546469305582,200,False,False,False,True,3.624685508425576,1.2449742180152883,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,control_lower_clearance,0,1002,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,2,1002,-5.8319399712635525,200,False,False,False,True,3.759940247394407,0.0654170592661538,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,control_symmetric_clearance,0,1003,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,3,1003,-2.3409731802252938,200,False,False,False,True,2.0228641377743477,0.2574900904214757,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_near_early_upper,0,1004,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,4,1004,-5.475684521866598,200,False,False,False,True,3.594280585673925,0.6536178296240974,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_near_early_lower,0,1005,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,5,1005,-9.437751784887986,27,False,True,True,False,3.084890704489004,-0.0171472840742301,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_near_late_upper,0,1006,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,6,1006,-5.651528768444978,200,False,False,False,True,3.689085471068589,1.2434458428831752,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_near_late_lower,0,1007,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,7,1007,-6.019993729256483,200,False,False,False,True,3.859641461123844,0.460446604600782,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_blocked_central_upper,0,1008,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,8,1008,-5.627313925943485,200,False,False,False,True,3.668576515897077,0.6419512170995193,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
ppo_baseline,1,10.0,False,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,navigation_layout_suite_v1,core_navigation_layouts_v1,1027141797052240e83b941398e5a32031e9ca67d001e4a0cf1e19b0f96dd466,evaluation\layouts\core_navigation_layouts.json,single_blocked_central_lower,0,1009,10.0,deterministic,200,3,0.1,0.25,disabled,ppo_baseline,runs\checkpoints\final\ppo_baseline_51200_seed1.pt,9,1009,-5.664875365291252,200,False,False,False,True,3.6849271801974255,0.5129711222539225,0,0.0,0,0.0,0,0.0,0.0,0.0,False,0,0.0,0.0,0.0,0.0,0.0,0,0.25,2.0,1000.0,0.0,C:\rl_projects\src\repos\rl-constrained-decision-making\runs\evaluation\final\core_layout_transfer\ppo_baseline\seed1\projection_disabled.csv,projection_result_tables_v1
