result_build_schema_version,method,display_name,train_seed,checkpoint_sha256,paired_layout_count,episode_return_delta_enabled_minus_disabled,episode_length_delta_enabled_minus_disabled,success_delta_enabled_minus_disabled,collision_delta_enabled_minus_disabled,min_obstacle_clearance_delta_enabled_minus_disabled,action_bound_clipping_rate_delta_enabled_minus_disabled,speed_action_bound_clipping_rate_delta_enabled_minus_disabled,turn_rate_action_bound_clipping_rate_delta_enabled_minus_disabled,mean_action_bound_clipping_norm_delta_enabled_minus_disabled,max_action_bound_clipping_norm_delta_enabled_minus_disabled
projection_result_tables_v1,ppo_baseline,PPO baseline,1,ac9747daee76239c878cc1339dfbe72a8ed020eaae9d3f5013a7ce78b8a07836,100,0.752730679342395,5.64,0.01,-0.09,0.02743830706594249,0.0001525785863799506,0.001090788145859222,0.00027264079652411565,0.001260228253220301,0.04145658971182249
projection_result_tables_v1,ppo_baseline,PPO baseline,2,b739ee92df7f8c5ecbcf3078764cb694532485a0a8395cabcc5b5e283ae77f58,100,0.3160681314166544,1.1,0.0,-0.05,0.029816434053270766,0.0003779916868364108,0.0001417113268655057,0.0003430602807937294,0.0009564085135751688,0.008545447809877893
projection_result_tables_v1,ppo_baseline,PPO baseline,3,8a5e7c0edb9e277062afa2433ca3ef1568bb909b75bf3bdb82e42469e8e81171,100,2.1721162293520595,16.59,0.09,-0.17,0.04324994085506166,0.0018519324795348052,-0.0006037263027415287,0.0015186070976363568,0.0036359081241692853,0.05755289851741565
projection_result_tables_v1,ppo_baseline,PPO baseline,4,d0cdbe0eae3327affadf64e343d3519ee3e91fd82a805e833c9068c467b1af7c,100,1.3024123574402406,14.67,0.03,-0.14,0.04188795796781494,0.0007661826178832864,0.0008964018708007565,4.7121272643317616e-05,-0.0009421203963080685,0.06473765826903112
projection_result_tables_v1,ppo_baseline,PPO baseline,5,c7238f982b6e88a89665a3aced8c737fb05966ff76f926fe7592d6e0924664e1,100,1.3241405255919068,20.32,0.0,-0.24,0.05312385488964769,0.008959260284761074,0.00876087471213211,0.001170242779679999,0.01636759932719012,0.08534164468952209
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,1,f946099fe7e2006e7a6b1a59938504d3e9d7e397fcb8eed0c86e6acc71637c88,100,0.4893390310779878,4.06,0.01,-0.07,0.018166441046241825,-0.0008771677239222098,-0.000682090054612462,-0.0007476835196405646,5.968587059095809e-05,0.012000363655788009
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,2,a3f683d8d1172d90a5f45a00f31759384b305350c48b5c24f09595e607c90545,100,0.844667937423182,4.82,0.0,-0.12,0.04734429075269178,0.0002744424622605246,0.00029298665048655304,-0.0001927894738500574,-0.0001319437912082744,-0.0009501986583730116
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,3,48e6b29f11086f82bb7f139dd80c052e298b8823ceb40af4967097c4f8743b97,100,0.6252601864709384,12.42,0.0,-0.14,0.04266024059047152,0.0008257254389080937,0.0009941135772090115,-0.0005521790793392455,0.0038243905027345194,0.032383082431413295
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,4,c57feec3843b8e3e585dc713ff618665322279b1975ee8277d305a134b7bbb80,100,1.1132275625395913,21.47,0.0,-0.22,0.055876188586570646,0.010349165764515625,0.0113059272198146,0.0002476528054598129,0.02097730885620841,0.09054732598847735
projection_result_tables_v1,ppo_high_penalty,PPO high penalty,5,45d8ccefb072cbd8badc1551770d69a5c5a31c61b936add71224ea5172ff83d4,100,0.4481627930871463,5.47,0.0,-0.09,0.030761921295790716,0.00030381581402600386,0.0006788918502555519,-0.00025977893862785676,0.0014891049608563457,0.011986954121705704
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,1,3c5949efe582518ed18dd33bd0066b919e2240bf8d1a1675995de14bf291227d,100,14.853129073266139,65.49,0.72,-0.87,0.07211190816349615,-0.010761550213914943,-0.022160427838331255,0.00818055611246881,-0.023867698385285383,0.3950511281015834
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,2,94a7e01271b6c4fdc2c40ab4df16731f351c85303fbfdd4a66df84cf7df61528,100,16.843559462602666,47.58,0.84,-0.87,0.08625798972773088,-0.017668019883805446,-0.041104093116467316,0.016183945658074298,-0.029077033152044574,0.27861631041913354
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,3,8dd06c30b16fafd91d3e679f5262588e83f69345442e3f605e40213d266208ef,100,15.046886523694086,34.58,0.75,-0.77,0.08509528061707763,-0.007685464770423397,-0.013104115750369676,0.003496074316395163,-0.01399944167502668,0.20943348526846628
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,4,fe5cf72639d7b42227099dba859c4bc05d33760b1ab46464c8237636967b6f16,100,15.014221496794848,35.29,0.75,-0.76,0.08457173398075316,-0.008155686128851987,-0.015340850836825015,0.006921995164914329,-0.010829104735291441,0.19462043117694555
projection_result_tables_v1,ppo_train_projection,PPO trained with projection,5,152c446a47682b6accaa1d5d54a6c547bcf0772aac856079d10c709b5dea791d,100,15.048317504660831,30.29,0.75,-0.75,0.08640612723368583,-0.008434216995927953,-0.00852896225354337,0.001920918587881249,-0.008196402759007217,0.19891600633463363
